Client ID,Client,Number of Customers,Montly Target,Calendardate,Amount Collected,Conversion,Campaign (Reel),Campaign (Story),Campaign (Post),Post_0_4_Reel_0_6,Post_0_5_Story_0_5,Reel_0_8_Story_0_2,Competition
ID-987275,Medium ,2800,125,16-01-14,0,0,0,0,0,0,0,0,Competition
ID-987275,Medium ,2800,125,16-02-14,3409460,24,0,0,0,0,0,0,Competition
ID-987275,Medium ,2800,125,18-03-14,10228384,75,0,0,0,0,0,0,Competition
ID-987275,Medium ,2800,125,18-04-14,17047304,123,0,0,0,0,3547500,0,Competition
ID-987275,Medium ,2800,125,19-05-14,23866224,171,0,0,0,0,0,0,Competition
ID-987275,Medium ,2800,125,16-06-14,27275684,198,0,0,0,0,4515000,0,Competition
ID-987275,Medium ,2800,125,17-07-14,17047304,123,0,0,0,0,4515000,0,Competition
ID-987275,Medium ,2800,125,16-08-14,17047304,123,0,696213,0,0,3547500,0,Competition
ID-987275,Medium ,2800,125,16-09-14,17047304,123,383800.8,1290412.8,0,0,2.58E+06,0,Competition
ID-987275,Medium ,2800,125,16-10-14,27275684,198,0,664917.6,0,0,2.58E+06,0,Competition
ID-987275,Medium ,2800,125,16-11-14,17047304,123,0,8414244.3,0,0,1935000,0,Competition
ID-987275,Medium ,2800,125,17-12-14,17047304,123,0,461931.8,0,0,1612500,0,Competition
ID-987275,Medium ,2800,125,16-01-15,13637844,99,0,805230.9,0,0,1.29E+06,0,Competition
ID-987275,Medium ,2800,125,16-02-15,17047304,123,0,458380,0,0,1935000,0,Competition
ID-987275,Medium ,2800,125,18-03-15,27275684,198,0,0,0,0,1612500,0,Competition
ID-987275,Medium ,2800,125,18-04-15,23866224,171,0,656661.6,0,0,1935000,0,Competition
ID-987275,Medium ,2800,125,19-05-15,13637844,99,0,688000,0,0,1612500,0,Competition
ID-987275,Medium ,2800,125,16-06-15,34094608,246,0,686280,0,0,2.58E+06,0,Competition
ID-987275,Medium ,2800,125,17-07-15,34094608,246,0,965350,0,0,1935000,0,Competition
ID-987275,Medium ,2800,125,16-08-15,64779752,468,0,6679301.8,0,0,1.29E+06,0,Competition
ID-987275,Medium ,2800,125,16-09-15,47732452,345,0,496134,0,0,1612500,0,Competition
ID-987275,Medium ,2800,125,16-10-15,51141912,369,0,1789290.2,0,0,1935000,0,Competition
ID-987275,Medium ,2800,125,16-11-15,47732452,345,0,1979543.7,0,0,967500,0,Competition
ID-987275,Medium ,2800,125,17-12-15,68189216,492,0,1234641.8,0,0,1.29E+06,0,Competition
ID-987278,Large  ,3160,120,16-01-14,0,0,0,0,0,0,1935000,322500,Competition
ID-987278,Large  ,3160,120,16-02-14,0,0,0,0,0,322500,2.58E+06,1.29E+06,Competition
ID-987278,Large  ,3160,120,18-03-14,0,0,0,0,0,645000,2257500,645000,Competition
ID-987278,Large  ,3160,120,18-04-14,0,0,0,0,0,322500,1935000,645000,Competition
ID-987278,Large  ,3160,120,19-05-14,0,0,0,0,0,322500,3.87E+06,0,Competition
ID-987278,Large  ,3160,120,16-06-14,0,0,711331.8,734268,0,0,2257500,0,Competition
ID-987278,Large  ,3160,120,17-07-14,32389876,198,610170,1088437.5,0,0,1.29E+06,0,Competition
ID-987278,Large  ,3160,120,16-08-14,68189216,492,305730,2431211.4,0,0,1.29E+06,0,Competition
ID-987278,Large  ,3160,120,16-09-14,44322988,321,1670055.5,967500,0,0,967500,0,Competition
ID-987278,Large  ,3160,120,16-10-14,47732452,345,204852,0,0,0,2257500,0,Competition
